Date and Time;Value
31-10-2024;1.624584
30-10-2024;1.630680
29-10-2024;1.624584
28-10-2024;1.618488
27-10-2024;1.603248
26-10-2024;1.591056
25-10-2024;1.572768
24-10-2024;1.554480
23-10-2024;1.557528
22-10-2024;1.557528
21-10-2024;1.554480
20-10-2024;1.563624
19-10-2024;1.569720
18-10-2024;1.554480
17-10-2024;1.545336
16-10-2024;1.530096
15-10-2024;1.505712
14-10-2024;1.496568
13-10-2024;1.499616
12-10-2024;1.505712
11-10-2024;1.505712
10-10-2024;1.484376
9-10-2024;1.475232
8-10-2024;1.463040
7-10-2024;1.466088
6-10-2024;1.481328
5-10-2024;1.484376
4-10-2024;1.487424
3-10-2024;1.478280
2-10-2024;1.475232
1-10-2024;1.478280
30-9-2024;1.472184
29-9-2024;1.472184
28-9-2024;1.463040
27-9-2024;1.520952
26-9-2024;1.709928
25-9-2024;1.773936
24-9-2024;1.767840
23-9-2024;1.758696
22-9-2024;1.752600
21-9-2024;1.743456
20-9-2024;1.725168
19-9-2024;1.716024
18-9-2024;1.706880
17-9-2024;1.703832
16-9-2024;1.703832
15-9-2024;1.697736
14-9-2024;1.694688
13-9-2024;1.697736
12-9-2024;1.697736
11-9-2024;1.694688
10-9-2024;1.688592
9-9-2024;1.679448
8-9-2024;1.655064
7-9-2024;1.642872
6-9-2024;1.648968
5-9-2024;1.655064
4-9-2024;1.636776
3-9-2024;1.624584
2-9-2024;1.600200
1-9-2024;1.591056
31-8-2024;1.588008
30-8-2024;1.581912
29-8-2024;1.563624
28-8-2024;1.551432
27-8-2024;1.542288
26-8-2024;1.536192
25-8-2024;1.527048
24-8-2024;1.517904
23-8-2024;1.502664
22-8-2024;1.484376
21-8-2024;1.466088
20-8-2024;1.438656
19-8-2024;1.423416
18-8-2024;1.417320
17-8-2024;1.411224
16-8-2024;1.408176
15-8-2024;1.395984
14-8-2024;1.380744
13-8-2024;1.368552
12-8-2024;1.362456
11-8-2024;1.356360
10-8-2024;1.341120
9-8-2024;1.316736
8-8-2024;1.292352
7-8-2024;1.298448
6-8-2024;1.310640
5-8-2024;1.316736
4-8-2024;1.313688
3-8-2024;1.310640
2-8-2024;1.319784
1-8-2024;1.325880
31-7-2024;1.322832
30-7-2024;1.341120
29-7-2024;1.392936
28-7-2024;1.441704
27-7-2024;1.447800
26-7-2024;1.453896
25-7-2024;1.481328
24-7-2024;1.508760
23-7-2024;1.502664
22-7-2024;1.505712
21-7-2024;1.514856
20-7-2024;1.536192
19-7-2024;1.539240
18-7-2024;1.527048
17-7-2024;1.520952
16-7-2024;1.517904
15-7-2024;1.511808
14-7-2024;1.514856
13-7-2024;1.511808
12-7-2024;1.499616
