Date and Time;Value
25-10-2024;51.249072
18-10-2024;51.026568
15-10-2024;51.090576
4-10-2024;51.011328
27-9-2024;51.054000
20-9-2024;51.063144
13-9-2024;51.026568
6-9-2024;51.121056
30-8-2024;51.041808
23-8-2024;51.099720
16-8-2024;50.919888
9-8-2024;50.950368
2-8-2024;50.880264
26-7-2024;50.916840
19-7-2024;50.791872
12-7-2024;50.715672
5-7-2024;50.523648
28-6-2024;50.267616
21-6-2024;50.130456
14-6-2024;50.115216
7-6-2024;49.914048
31-5-2024;49.767744
24-5-2024;49.658016
17-5-2024;49.612296
10-5-2024;49.398936
26-4-2024;49.078896
19-4-2024;49.344072
5-4-2024;49.359312
29-3-2024;49.392840
22-3-2024;49.502568
8-3-2024;49.584864
1-3-2024;49.566576
23-2-2024;49.685448
16-2-2024;49.740312
9-2-2024;49.840896
2-2-2024;49.743360
26-1-2024;49.944528
19-1-2024;49.895760
12-1-2024;50.026824
4-1-2024;50.096928
29-12-2023;50.133504
21-12-2023;50.206656
15-12-2023;50.279808
8-12-2023;50.371248
1-12-2023;50.441352
27-11-2023;50.484024
17-11-2023;50.566320
10-11-2023;50.718720
3-11-2023;50.770536
27-10-2023;50.849784
20-10-2023;50.944272
13-10-2023;50.962560
6-10-2023;51.084480
29-9-2023;51.471576
22-9-2023;51.191160
15-9-2023;51.185064
8-9-2023;51.212496
1-9-2023;51.084480
25-8-2023;51.130200
18-8-2023;51.069240
11-8-2023;51.069240
4-8-2023;50.971704
28-7-2023;50.871120
21-7-2023;50.816256
14-7-2023;50.691288
7-7-2023;50.566320
30-6-2023;50.420016
23-6-2023;50.398680
16-6-2023;50.325528
9-6-2023;50.264568
2-6-2023;50.160936
30-5-2023;50.054256
19-5-2023;49.996344
12-5-2023;49.816512
5-5-2023;49.862232
28-4-2023;49.782984
21-4-2023;49.773840
14-4-2023;49.688496
7-4-2023;49.752504
31-3-2023;49.850040
24-3-2023;49.990248
17-3-2023;49.944528
10-3-2023;49.898808
3-3-2023;50.072544
24-2-2023;49.990248
17-2-2023;50.160936
10-2-2023;50.191416
6-2-2023;50.282856
27-1-2023;50.340768
20-1-2023;50.441352
13-1-2023;50.377344
6-1-2023;50.529744
30-12-2022;50.477928
23-12-2022;50.602896
16-12-2022;50.682144
9-12-2022;50.730912
2-12-2022;50.804064
25-11-2022;50.877216
15-11-2022;50.935128
10-11-2022;51.044856
4-11-2022;51.148488
28-10-2022;51.303936
24-10-2022;51.294792
14-10-2022;51.267360
7-10-2022;51.255168
30-9-2022;51.206400
23-9-2022;51.145440
16-9-2022;51.313080
9-9-2022;51.261264
2-9-2022;51.191160
26-8-2022;51.148488
19-8-2022;51.139344
12-8-2022;51.038760
5-8-2022;50.989992
30-7-2022;50.944272
22-7-2022;50.901600
15-7-2022;50.755296
8-7-2022;50.749200
1-7-2022;50.639472
24-6-2022;50.560224
17-6-2022;50.450496
10-6-2022;50.352960
3-6-2022;50.231040
27-5-2022;50.133504
20-5-2022;49.868328
13-5-2022;49.874424
29-4-2022;49.630584
22-4-2022;49.542192
15-4-2022;49.590960
8-4-2022;49.557432
1-4-2022;49.484280
25-3-2022;49.563528
18-3-2022;49.441608
11-3-2022;49.514760
4-3-2022;49.365408
23-2-2022;49.414176
18-2-2022;49.475136
11-2-2022;49.374552
4-2-2022;49.465992
28-1-2022;49.469040
21-1-2022;49.475136
14-1-2022;49.505616
7-1-2022;49.481232
29-12-2021;49.514760
23-12-2021;49.520856
17-12-2021;49.755552
10-12-2021;49.731168
3-12-2021;49.773840
24-11-2021;49.846992
19-11-2021;49.892712
12-11-2021;49.978056
5-11-2021;50.267616
29-10-2021;50.106072
22-10-2021;50.246280
15-10-2021;50.505360
8-10-2021;50.389536
1-10-2021;50.426112
24-9-2021;50.349912
17-9-2021;50.456592
10-9-2021;50.423064
3-9-2021;50.471832
27-8-2021;50.295048
20-8-2021;50.273712
13-8-2021;50.282856
6-8-2021;50.209704
30-7-2021;50.115216
23-7-2021;50.099976
16-7-2021;49.953672
9-7-2021;49.889664
2-7-2021;49.831752
25-6-2021;49.752504
21-6-2021;49.578768
11-6-2021;49.533048
4-6-2021;49.411128
28-5-2021;49.298352
21-5-2021;49.136808
14-5-2021;49.149000
7-5-2021;48.953928
30-4-2021;48.859440
23-4-2021;48.697896
16-4-2021;48.582072
9-4-2021;48.460152
2-4-2021;48.265080
26-3-2021;48.112680
19-3-2021;48.182784
12-3-2021;48.130968
5-3-2021;48.185832
26-2-2021;48.155352
19-2-2021;48.262032
11-2-2021;48.252888
5-2-2021;48.344328
29-1-2021;48.292512
22-1-2021;48.353472
15-1-2021;48.457104
8-1-2021;48.499776
31-12-2020;48.582072
23-12-2020;48.649128
18-12-2020;48.694848
11-12-2020;48.780192
4-12-2020;48.862488
27-11-2020;48.911256
20-11-2020;49.008792
13-11-2020;49.106328
6-11-2020;49.149000
30-10-2020;49.270920
23-10-2020;49.270920
16-10-2020;49.286160
9-10-2020;49.301400
2-10-2020;49.337976
25-9-2020;49.347120
18-9-2020;49.408080
11-9-2020;49.395888
4-9-2020;49.371504
28-8-2020;49.304448
21-8-2020;49.255680
14-8-2020;49.200816
7-8-2020;49.088040
31-7-2020;49.017936
24-7-2020;48.899064
17-7-2020;48.841152
10-7-2020;48.771048
2-7-2020;48.524160
26-6-2020;48.387000
19-6-2020;48.249840
12-6-2020;48.191928
15-5-2020;47.743872
17-4-2020;47.262288
20-3-2020;47.481744
13-3-2020;47.408592
6-3-2020;47.615856
7-2-2020;47.512224
10-1-2020;47.756064
13-12-2019;48.045624
21-9-2019;48.786288
14-9-2019;48.859440
31-8-2019;48.856392
24-8-2019;48.828960
17-8-2019;48.707040
10-8-2019;48.673512
3-8-2019;48.597312
20-7-2019;48.417480
13-7-2019;48.268128
6-7-2019;48.161448
29-6-2019;48.063912
15-6-2019;47.884080
8-6-2019;47.743872
1-6-2019;47.716440
18-5-2019;47.295816
11-5-2019;47.338488
4-5-2019;47.515272
28-4-2019;47.378112
13-4-2019;47.289720
6-4-2019;47.359824
30-3-2019;47.466504
16-3-2019;47.564040
9-3-2019;47.557944
4-3-2019;47.625000
23-2-2019;47.759112
16-2-2019;47.771304
9-2-2019;47.783496
26-1-2019;47.941992
19-1-2019;48.063912
12-1-2019;47.984664
5-1-2019;47.975520
29-12-2018;48.201072
22-12-2018;48.198024
