Date and Time;Value
29-10-2024;3.657600
10-9-2024;3.468624
26-6-2024;3.206496
11-4-2024;2.185416
12-3-2024;2.063496
23-1-2024;2.042160
21-12-2023;2.642616
27-10-2023;5.105400
25-8-2023;3.389376
31-3-2023;3.008376
14-12-2022;3.700272
6-10-2022;4.072128
28-7-2022;4.133088
26-5-2022;3.392424
12-5-2022;3.474720
5-5-2022;3.499104
7-4-2022;3.416808
1-9-2020;3.285744
29-9-2018;3.032760
28-9-2018;3.023616
27-9-2018;3.044952
26-9-2018;3.051048
25-9-2018;3.038856
24-9-2018;3.029712
23-9-2018;3.035808
22-9-2018;3.041904
21-9-2018;3.048000
20-9-2018;3.023616
19-9-2018;3.014472
18-9-2018;3.014472
17-9-2018;2.999232
16-9-2018;3.005328
15-9-2018;2.993136
14-9-2018;3.029712
13-9-2018;3.017520
12-9-2018;3.026664
11-9-2018;3.051048
10-9-2018;3.060192
9-9-2018;3.069336
8-9-2018;3.057144
7-9-2018;3.026664
6-9-2018;3.011424
5-9-2018;2.971800
4-9-2018;2.950464
3-9-2018;2.953512
2-9-2018;2.959608
1-9-2018;2.987040
31-8-2018;2.959608
30-8-2018;2.990088
29-8-2018;2.956560
28-8-2018;2.980944
27-8-2018;2.962656
26-8-2018;2.965704
25-8-2018;2.971800
24-8-2018;2.956560
23-8-2018;2.941320
22-8-2018;2.929128
21-8-2018;2.840736
20-8-2018;2.932176
19-8-2018;2.929128
18-8-2018;2.941320
17-8-2018;2.929128
16-8-2018;2.883408
15-8-2018;2.877312
14-8-2018;2.886456
13-8-2018;2.886456
12-8-2018;2.846832
11-8-2018;2.883408
10-8-2018;2.877312
9-8-2018;2.868168
8-8-2018;2.855976
7-8-2018;2.834640
6-8-2018;2.846832
5-8-2018;2.834640
4-8-2018;2.825496
3-8-2018;2.816352
2-8-2018;2.795016
1-8-2018;2.804160
31-7-2018;2.773680
30-7-2018;2.773680
29-7-2018;2.791968
28-7-2018;2.801112
27-7-2018;2.782824
26-7-2018;2.761488
25-7-2018;2.734056
24-7-2018;2.743200
23-7-2018;2.731008
22-7-2018;2.709672
21-7-2018;2.673096
20-7-2018;2.642616
19-7-2018;2.645664
18-7-2018;2.633472
17-7-2018;2.651760
16-7-2018;2.645664
15-7-2018;2.633472
14-7-2018;2.633472
13-7-2018;2.618232
12-7-2018;2.581656
11-7-2018;2.590800
10-7-2018;2.581656
9-7-2018;2.609088
8-7-2018;2.575560
7-7-2018;2.569464
6-7-2018;2.538984
5-7-2018;2.499360
4-7-2018;2.456688
3-7-2018;2.447544
2-7-2018;2.447544
1-7-2018;2.456688
30-6-2018;2.429256
29-6-2018;2.417064
28-6-2018;2.401824
27-6-2018;2.423160
26-6-2018;2.353056
25-6-2018;2.368296
24-6-2018;2.334768
23-6-2018;2.368296
22-6-2018;2.380488
21-6-2018;2.350008
20-6-2018;2.343912
19-6-2018;2.310384
18-6-2018;2.295144
17-6-2018;2.279904
16-6-2018;2.243328
15-6-2018;2.264664
14-6-2018;2.273808
13-6-2018;2.258568
12-6-2018;2.276856
11-6-2018;2.276856
10-6-2018;2.279904
9-6-2018;2.270760
8-6-2018;2.252472
7-6-2018;2.191512
6-6-2018;2.161032
5-6-2018;2.127504
4-6-2018;2.130552
3-6-2018;2.124456
2-6-2018;2.164080
1-6-2018;2.154936
31-5-2018;2.124456
30-5-2018;2.112264
29-5-2018;2.121408
28-5-2018;2.157984
27-5-2018;2.157984
26-5-2018;2.182368
25-5-2018;2.164080
24-5-2018;2.170176
23-5-2018;2.133600
22-5-2018;2.127504
21-5-2018;2.124456
20-5-2018;2.118360
19-5-2018;2.148840
18-5-2018;2.185416
17-5-2018;2.161032
16-5-2018;2.179320
15-5-2018;2.154936
14-5-2018;2.167128
13-5-2018;2.151888
12-5-2018;2.191512
11-5-2018;2.197608
10-5-2018;2.206752
9-5-2018;2.185416
8-5-2018;2.203704
7-5-2018;2.200656
6-5-2018;2.191512
5-5-2018;2.212848
4-5-2018;2.249424
3-5-2018;2.249424
2-5-2018;2.258568
1-5-2018;2.273808
30-4-2018;2.310384
29-4-2018;2.304288
28-4-2018;2.316480
27-4-2018;2.310384
26-4-2018;2.301240
25-4-2018;2.295144
24-4-2018;2.279904
23-4-2018;2.264664
22-4-2018;2.270760
21-4-2018;2.307336
20-4-2018;2.331720
19-4-2018;2.325624
18-4-2018;2.334768
17-4-2018;2.343912
16-4-2018;2.313432
15-4-2018;2.350008
14-4-2018;2.401824
13-4-2018;2.410968
12-4-2018;2.389632
11-4-2018;2.356104
10-4-2018;2.346960
9-4-2018;2.316480
8-4-2018;2.307336
7-4-2018;2.270760
6-4-2018;2.273808
5-4-2018;2.325624
4-4-2018;2.313432
3-4-2018;2.325624
2-4-2018;2.331720
1-4-2018;2.337816
31-3-2018;2.346960
30-3-2018;2.362200
29-3-2018;2.389632
28-3-2018;2.386584
27-3-2018;2.392680
26-3-2018;2.386584
25-3-2018;2.346960
24-3-2018;2.353056
23-3-2018;2.353056
22-3-2018;2.295144
21-3-2018;2.310384
20-3-2018;2.487168
19-3-2018;2.392680
18-3-2018;2.398776
17-3-2018;2.404872
16-3-2018;2.374392
15-3-2018;2.389632
14-3-2018;2.407920
13-3-2018;2.392680
12-3-2018;2.410968
11-3-2018;2.401824
10-3-2018;2.398776
9-3-2018;2.417064
8-3-2018;2.444496
7-3-2018;2.447544
6-3-2018;2.471928
5-3-2018;2.490216
4-3-2018;2.487168
3-3-2018;2.450592
2-3-2018;2.465832
1-3-2018;2.508504
28-2-2018;2.545080
27-2-2018;2.529840
26-2-2018;2.551176
25-2-2018;2.557272
24-2-2018;2.538984
23-2-2018;2.526792
22-2-2018;2.505456
21-2-2018;2.514600
20-2-2018;2.511552
19-2-2018;2.484120
18-2-2018;2.493264
17-2-2018;2.496312
16-2-2018;2.517648
15-2-2018;2.514600
14-2-2018;2.453640
13-2-2018;2.450592
12-2-2018;2.441448
11-2-2018;2.426208
10-2-2018;2.447544
9-2-2018;2.453640
8-2-2018;2.478024
7-2-2018;2.478024
6-2-2018;2.456688
5-2-2018;2.471928
4-2-2018;2.481072
3-2-2018;2.474976
2-2-2018;2.496312
1-2-2018;2.514600
31-1-2018;2.529840
30-1-2018;2.529840
29-1-2018;2.551176
28-1-2018;2.587752
27-1-2018;2.569464
26-1-2018;2.560320
25-1-2018;2.526792
24-1-2018;2.551176
23-1-2018;2.651760
22-1-2018;2.569464
21-1-2018;2.584704
20-1-2018;2.514600
19-1-2018;2.511552
18-1-2018;2.526792
17-1-2018;2.532888
16-1-2018;2.532888
15-1-2018;2.526792
14-1-2018;2.557272
13-1-2018;2.584704
12-1-2018;2.609088
11-1-2018;2.578608
10-1-2018;2.557272
9-1-2018;2.496312
8-1-2018;2.548128
7-1-2018;2.593848
6-1-2018;2.596896
5-1-2018;2.581656
4-1-2018;2.596896
3-1-2018;2.645664
2-1-2018;2.660904
1-1-2018;2.660904
31-12-2017;2.654808
30-12-2017;2.663952
29-12-2017;2.673096
28-12-2017;2.688336
27-12-2017;2.694432
26-12-2017;2.670048
25-12-2017;2.673096
24-12-2017;2.660904
23-12-2017;2.694432
22-12-2017;2.691384
21-12-2017;2.679192
20-12-2017;2.663952
19-12-2017;2.679192
18-12-2017;2.694432
17-12-2017;2.721864
16-12-2017;2.721864
15-12-2017;2.752344
14-12-2017;2.474976
13-12-2017;2.731008
12-12-2017;2.737104
11-12-2017;2.746248
10-12-2017;2.737104
9-12-2017;2.740152
8-12-2017;2.755392
7-12-2017;2.764536
6-12-2017;2.767584
4-12-2017;2.798064
3-12-2017;2.791968
2-12-2017;2.782824
1-12-2017;2.819400
30-11-2017;2.822448
29-11-2017;2.801112
28-11-2017;2.788920
27-11-2017;2.776728
26-11-2017;2.761488
25-11-2017;2.770632
24-11-2017;2.801112
23-11-2017;2.810256
22-11-2017;2.819400
21-11-2017;2.843784
20-11-2017;2.865120
19-11-2017;2.892552
18-11-2017;2.919984
17-11-2017;2.895600
16-11-2017;2.926080
15-11-2017;2.965704
14-11-2017;2.983992
13-11-2017;2.965704
12-11-2017;2.941320
11-11-2017;2.932176
10-11-2017;2.947416
9-11-2017;2.941320
8-11-2017;2.968752
7-11-2017;2.990088
6-11-2017;3.014472
5-11-2017;3.044952
4-11-2017;3.020568
3-11-2017;3.057144
2-11-2017;3.060192
1-11-2017;3.038856
31-10-2017;3.048000
30-10-2017;3.048000
29-10-2017;3.066288
28-10-2017;3.063240
27-10-2017;3.084576
26-10-2017;3.051048
25-10-2017;3.142488
24-10-2017;3.163824
23-10-2017;3.185160
22-10-2017;3.188208
21-10-2017;3.209544
20-10-2017;3.166872
19-10-2017;3.163824
18-10-2017;3.182112
17-10-2017;3.182112
16-10-2017;3.166872
15-10-2017;3.166872
14-10-2017;3.139440
13-10-2017;3.148584
12-10-2017;3.099816
11-10-2017;3.078480
10-10-2017;3.090672
9-10-2017;3.087624
8-10-2017;3.084576
7-10-2017;3.136392
6-10-2017;3.121152
5-10-2017;3.136392
4-10-2017;3.160776
3-10-2017;3.121152
2-10-2017;3.115056
1-10-2017;3.096768
30-9-2017;3.121152
29-9-2017;3.099816
28-9-2017;3.102864
27-9-2017;3.078480
26-9-2017;3.066288
25-9-2017;3.105912
24-9-2017;3.081528
23-9-2017;3.096768
22-9-2017;3.081528
21-9-2017;3.069336
20-9-2017;3.093720
19-9-2017;3.108960
18-9-2017;3.112008
17-9-2017;3.087624
16-9-2017;3.072384
15-9-2017;3.035808
14-9-2017;3.005328
13-9-2017;2.996184
12-9-2017;3.014472
11-9-2017;3.017520
10-9-2017;3.032760
9-9-2017;3.051048
8-9-2017;3.032760
7-9-2017;3.096768
6-9-2017;3.014472
5-9-2017;3.011424
4-9-2017;2.990088
3-9-2017;3.011424
2-9-2017;3.005328
1-9-2017;2.990088
31-8-2017;2.983992
30-8-2017;3.002280
29-8-2017;2.993136
28-8-2017;3.017520
27-8-2017;3.023616
26-8-2017;2.996184
25-8-2017;3.023616
24-8-2017;2.999232
23-8-2017;2.996184
22-8-2017;2.980944
21-8-2017;2.977896
20-8-2017;2.965704
19-8-2017;2.987040
18-8-2017;2.980944
17-8-2017;2.971800
16-8-2017;2.993136
15-8-2017;2.919984
14-8-2017;2.950464
13-8-2017;2.971800
12-8-2017;2.983992
11-8-2017;2.987040
10-8-2017;2.996184
9-8-2017;2.987040
8-8-2017;2.950464
7-8-2017;2.959608
6-8-2017;2.944368
5-8-2017;2.941320
4-8-2017;2.956560
3-8-2017;2.923032
2-8-2017;2.919984
1-8-2017;2.898648
31-7-2017;2.886456
30-7-2017;2.907792
29-7-2017;2.889504
28-7-2017;2.868168
27-7-2017;3.078480
26-7-2017;2.855976
25-7-2017;2.825496
24-7-2017;2.810256
23-7-2017;2.819400
22-7-2017;2.837688
21-7-2017;2.862072
20-7-2017;2.889504
19-7-2017;2.855976
18-7-2017;2.831592
17-7-2017;2.798064
16-7-2017;2.798064
15-7-2017;2.767584
14-7-2017;2.755392
13-7-2017;2.734056
12-7-2017;2.712720
11-7-2017;2.718816
10-7-2017;2.715768
9-7-2017;2.697480
8-7-2017;2.700528
7-7-2017;2.721864
6-7-2017;2.743200
5-7-2017;2.718816
4-7-2017;2.691384
3-7-2017;2.703576
2-7-2017;2.700528
1-7-2017;2.667000
30-6-2017;2.645664
29-6-2017;2.648712
28-6-2017;2.648712
27-6-2017;2.593848
26-6-2017;2.609088
25-6-2017;2.593848
24-6-2017;2.596896
23-6-2017;2.578608
22-6-2017;2.551176
21-6-2017;2.557272
20-6-2017;2.551176
19-6-2017;2.532888
18-6-2017;2.542032
17-6-2017;2.551176
16-6-2017;2.545080
15-6-2017;2.557272
14-6-2017;2.545080
13-6-2017;2.526792
12-6-2017;2.520696
11-6-2017;2.471928
10-6-2017;2.493264
9-6-2017;2.487168
8-6-2017;2.496312
7-6-2017;2.493264
6-6-2017;2.474976
5-6-2017;2.478024
4-6-2017;2.487168
3-6-2017;2.484120
2-6-2017;2.465832
1-6-2017;2.444496
31-5-2017;2.618232
30-5-2017;2.441448
29-5-2017;2.450592
28-5-2017;2.432304
27-5-2017;2.447544
26-5-2017;2.426208
25-5-2017;2.410968
24-5-2017;2.444496
23-5-2017;2.438400
22-5-2017;2.429256
21-5-2017;2.401824
20-5-2017;2.377440
19-5-2017;2.371344
18-5-2017;2.353056
17-5-2017;2.343912
16-5-2017;2.325624
15-5-2017;2.292096
14-5-2017;2.270760
13-5-2017;2.298192
12-5-2017;2.279904
11-5-2017;2.279904
10-5-2017;2.246376
9-5-2017;2.221992
8-5-2017;2.228088
7-5-2017;2.203704
6-5-2017;2.209800
5-5-2017;2.197608
4-5-2017;2.170176
3-5-2017;2.164080
2-5-2017;2.133600
1-5-2017;2.151888
30-4-2017;2.182368
29-4-2017;2.194560
28-4-2017;2.185416
27-4-2017;2.161032
26-4-2017;2.161032
25-4-2017;2.148840
24-4-2017;2.142744
23-4-2017;2.142744
22-4-2017;2.133600
21-4-2017;2.145792
20-4-2017;2.154936
19-4-2017;2.142744
18-4-2017;2.136648
17-4-2017;2.121408
16-4-2017;2.109216
15-4-2017;2.148840
14-4-2017;2.173224
13-4-2017;2.298192
12-4-2017;2.139696
11-4-2017;2.161032
10-4-2017;2.194560
9-4-2017;2.200656
8-4-2017;2.154936
7-4-2017;2.139696
6-4-2017;2.191512
5-4-2017;2.209800
4-4-2017;2.182368
3-4-2017;2.182368
2-4-2017;2.179320
1-4-2017;2.206752
31-3-2017;2.212848
30-3-2017;2.255520
29-3-2017;2.258568
28-3-2017;2.252472
27-3-2017;2.225040
26-3-2017;2.218944
25-3-2017;2.225040
24-3-2017;2.273808
23-3-2017;2.298192
22-3-2017;2.292096
21-3-2017;2.249424
20-3-2017;2.304288
19-3-2017;2.340864
18-3-2017;2.343912
17-3-2017;2.328672
16-3-2017;2.325624
15-3-2017;2.255520
14-3-2017;2.243328
13-3-2017;2.270760
12-3-2017;2.307336
11-3-2017;2.276856
10-3-2017;2.286000
9-3-2017;2.298192
8-3-2017;2.331720
7-3-2017;2.310384
6-3-2017;2.359152
5-3-2017;2.346960
4-3-2017;2.350008
3-3-2017;2.307336
2-3-2017;2.337816
1-3-2017;2.322576
28-2-2017;2.282952
27-2-2017;2.240280
26-2-2017;2.252472
25-2-2017;2.286000
24-2-2017;2.276856
23-2-2017;2.249424
22-2-2017;2.237232
21-2-2017;2.218944
20-2-2017;2.185416
19-2-2017;2.194560
18-2-2017;2.164080
17-2-2017;2.133600
16-2-2017;2.209800
15-2-2017;2.133600
14-2-2017;1.932432
13-2-2017;2.023872
12-2-2017;2.072640
11-2-2017;2.121408
10-2-2017;2.301240
9-2-2017;2.465832
8-2-2017;2.496312
7-2-2017;2.468880
6-2-2017;2.462784
5-2-2017;2.420112
4-2-2017;2.487168
3-2-2017;2.438400
