Date and Time;Value
30-5-2024;4.157472
29-5-2024;4.206240
28-5-2024;4.227576
27-5-2024;4.267200
26-5-2024;4.349496
25-5-2024;4.401312
24-5-2024;4.395216
23-5-2024;4.416552
22-5-2024;4.440936
21-5-2024;4.450080
20-5-2024;4.498848
19-5-2024;4.565904
18-5-2024;4.636008
17-5-2024;4.703064
16-5-2024;4.785360
15-5-2024;4.885944
14-5-2024;4.968240
13-5-2024;5.062728
12-5-2024;5.178552
11-5-2024;5.294376
10-5-2024;5.416296
9-5-2024;5.526024
8-5-2024;5.629656
6-5-2024;5.852160
5-5-2024;5.961888
4-5-2024;6.077712
3-5-2024;6.184392
2-5-2024;6.306312
1-5-2024;6.367272
30-4-2024;6.419088
29-4-2024;6.458712
28-4-2024;6.516624
27-4-2024;6.537960
26-4-2024;6.559296
25-4-2024;6.589776
24-4-2024;6.605016
23-4-2024;6.614160
22-4-2024;6.629400
21-4-2024;6.644640
20-4-2024;6.669024
19-4-2024;6.705600
18-4-2024;6.726936
17-4-2024;6.787896
16-4-2024;6.793992
15-4-2024;6.800088
14-4-2024;6.806184
13-4-2024;6.827520
12-4-2024;6.861048
11-4-2024;6.888480
10-4-2024;6.906768
9-4-2024;6.934200
8-4-2024;6.958584
7-4-2024;6.973824
6-4-2024;7.007352
5-4-2024;7.034784
4-4-2024;7.065264
3-4-2024;7.089648
2-4-2024;7.095744
1-4-2024;7.156704
31-3-2024;7.165848
30-3-2024;7.174992
29-3-2024;7.181088
28-3-2024;7.181088
27-3-2024;7.181088
26-3-2024;7.174992
25-3-2024;7.187184
24-3-2024;7.199376
23-3-2024;7.202424
22-3-2024;7.208520
21-3-2024;7.217664
20-3-2024;7.223760
19-3-2024;7.229856
18-3-2024;7.242048
17-3-2024;7.242048
16-3-2024;7.242048
15-3-2024;7.242048
14-3-2024;7.223760
13-3-2024;7.214616
12-3-2024;7.205472
11-3-2024;7.196328
10-3-2024;7.187184
9-3-2024;7.178040
8-3-2024;7.165848
7-3-2024;7.162800
6-3-2024;7.156704
5-3-2024;7.135368
4-3-2024;7.126224
3-3-2024;7.123176
2-3-2024;7.123176
1-3-2024;7.123176
29-2-2024;7.123176
28-2-2024;7.123176
27-2-2024;7.110984
26-2-2024;7.132320
25-2-2024;7.138416
24-2-2024;7.141464
23-2-2024;7.144512
22-2-2024;7.144512
21-2-2024;7.159752
20-2-2024;7.168896
19-2-2024;7.184136
18-2-2024;7.193280
17-2-2024;7.202424
16-2-2024;7.205472
15-2-2024;7.220712
14-2-2024;7.260336
13-2-2024;7.263384
12-2-2024;7.266432
11-2-2024;7.278624
10-2-2024;7.296912
9-2-2024;7.315200
8-2-2024;7.321296
7-2-2024;7.339584
6-2-2024;7.357872
5-2-2024;7.379208
4-2-2024;7.385304
3-2-2024;7.394448
2-2-2024;7.415784
1-2-2024;7.434072
31-1-2024;7.452360
30-1-2024;7.461504
29-1-2024;7.470648
28-1-2024;7.482840
27-1-2024;7.498080
26-1-2024;7.513320
25-1-2024;7.519416
24-1-2024;7.525512
