STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00093228,"HAYWARD AIR TERMINAL, CA US",37.65886,-122.12116,9.6,19-9-1998,0,,,19.4,25.6,13.3
USW00093228,"HAYWARD AIR TERMINAL, CA US",37.65886,-122.12116,9.6,20-9-1998,0,,,16.7,19.4,13.3
USW00093228,"HAYWARD AIR TERMINAL, CA US",37.65886,-122.12116,9.6,21-9-1998,0,,,16.7,20,13.3
USW00093228,"HAYWARD AIR TERMINAL, CA US",37.65886,-122.12116,9.6,22-9-1998,0,,,18.3,21.1,15.6
USW00093228,"HAYWARD AIR TERMINAL, CA US",37.65886,-122.12116,9.6,23-9-1998,0,,,17.2,21.1,13.3
USW00093228,"HAYWARD AIR TERMINAL, CA US",37.65886,-122.12116,9.6,24-9-1998,0,,,16.7,18.9,13.9
USW00093228,"HAYWARD AIR TERMINAL, CA US",37.65886,-122.12116,9.6,25-9-1998,0,,,16.7,18.9,13.9
USW00093228,"HAYWARD AIR TERMINAL, CA US",37.65886,-122.12116,9.6,26-9-1998,0.3,,,15.6,17.8,12.8
USW00093228,"HAYWARD AIR TERMINAL, CA US",37.65886,-122.12116,9.6,27-9-1998,0,,,15,17.2,12.8
USW00093228,"HAYWARD AIR TERMINAL, CA US",37.65886,-122.12116,9.6,28-9-1998,0,,,18.9,22.2,15
USW00093228,"HAYWARD AIR TERMINAL, CA US",37.65886,-122.12116,9.6,29-9-1998,0,,,15.6,17.2,13.9
USW00093228,"HAYWARD AIR TERMINAL, CA US",37.65886,-122.12116,9.6,30-9-1998,0,,,16.1,18.3,13.9
USW00093228,"HAYWARD AIR TERMINAL, CA US",37.65886,-122.12116,9.6,1-10-1998,0,,,15.6,16.7,14.4
USW00093228,"HAYWARD AIR TERMINAL, CA US",37.65886,-122.12116,9.6,2-10-1998,0,,,15.6,17.8,12.8
USW00093228,"HAYWARD AIR TERMINAL, CA US",37.65886,-122.12116,9.6,3-10-1998,0,,,15.6,18.9,11.7
USW00093228,"HAYWARD AIR TERMINAL, CA US",37.65886,-122.12116,9.6,4-10-1998,0,,,16.1,22.2,10
USW00093228,"HAYWARD AIR TERMINAL, CA US",37.65886,-122.12116,9.6,5-10-1998,0,,,19.4,27.8,11.1
USW00093228,"HAYWARD AIR TERMINAL, CA US",37.65886,-122.12116,9.6,6-10-1998,0,,,21.1,27.8,13.9
USW00093228,"HAYWARD AIR TERMINAL, CA US",37.65886,-122.12116,9.6,7-10-1998,0,,,16.1,21.1,11.1
USW00093228,"HAYWARD AIR TERMINAL, CA US",37.65886,-122.12116,9.6,8-10-1998,0,,,16.7,19.4,13.3
